,CaseID,Address,Street,Neighborhood,Point,point_geom
10232,16985938,"2 FERN ST, SAN FRANCISCO, CA, 94109",FERN ST,Lower Nob Hill,"(37.78841274, -122.41872031)",POINT (-122.418720315 37.788412736)
10233,16981909,"2323 JERROLD AVE, SAN FRANCISCO, CA, 94124",JERROLD AVE,Produce Market,"(37.74607708, -122.40229759)",POINT (-122.402297594 37.746077082)
10234,16988945,"1801 22ND AVE, SAN FRANCISCO, CA, 94122",22ND AVE,Outer Sunset,"(37.75387415, -122.47980087)",POINT (-122.479800866 37.753874146)
10235,16984433,"390 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.7773922, -122.40436767)",POINT (-122.404367674 37.777392202)
10236,16984463,"2630 GEARY BLVD, SAN FRANCISCO, CA, 94115",GEARY BLVD,Laurel Heights / Jordan Park,"(37.78284329, -122.44695403)",POINT (-122.446954028 37.782843294)
10238,16989169,"799 VAN NESS AVE, SAN FRANCISCO, CA, 94102",VAN NESS AVE,Cathedral Hill,"(37.78257718, -122.42098389)",POINT (-122.420983892 37.782577176)
10239,16981194,Intersection of I-80 W OFF RAMP and I-80 WESTBOUND,I-80 W OFF RAMP,South of Market,"(37.77594152, -122.40562124)",POINT (-122.405621243 37.775941515)
10240,16987327,"201 CENTRAL AVE, SAN FRANCISCO, CA, 94117",CENTRAL AVE,Haight Ashbury,"(37.77149962, -122.44397127)",POINT (-122.443971268 37.771499625)
10241,16981163,"68 BRYANT ST, SAN FRANCISCO, CA, 94105",BRYANT ST,Rincon Hill,"(37.7874711, -122.3892944)",POINT (-122.3892944 37.7874711)
10243,16988165,"869 BROADWAY, SAN FRANCISCO, CA, 94133",BROADWAY,Russian Hill,"(37.7970858, -122.4113267)",POINT (-122.4113267 37.7970858)
10244,16986942,"1316 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77370444, -122.41195131)",POINT (-122.411951315 37.773704444)
10245,16981187,"999 MARIPOSA ST, SAN FRANCISCO, CA, 94107",MARIPOSA ST,Potrero Hill,"(37.76388554, -122.39364609)",POINT (-122.393646088 37.763885539)
10247,16992156,Intersection of I-80 WESTBOUND and I-80 W ON RAMP,I-80 WESTBOUND,Showplace Square,"(37.77251277, -122.4067511)",POINT (-122.406751103 37.77251277)
10249,16992223,Intersection of GEARY ST and JONES ST,GEARY ST,Lower Nob Hill,"(37.7867426, -122.4131825)",POINT (-122.4131825 37.7867426)
10250,16996700,Intersection of ROUSSEAU ST and STILL ST,ROUSSEAU ST,Mission Terrace,"(37.73188873, -122.42988456)",POINT (-122.429884563 37.731888731)
10251,16998564,"84 WOODWARD ST, SAN FRANCISCO, CA, 94103",WOODWARD ST,Mission,"(37.76846636, -122.42092172)",POINT (-122.42092172 37.768466362)
10252,16981166,"1307 STEVENSON ST, SAN FRANCISCO, CA, 94103",STEVENSON ST,South of Market,"(37.77131006, -122.42174506)",POINT (-122.421745058 37.771310062)
10254,16982399,"730 POLK ST, SAN FRANCISCO, CA, 94109",POLK ST,Tenderloin,"(37.78363185, -122.4188789)",POINT (-122.418878899 37.783631846)
10255,16983335,"79 SHOTWELL ST, SAN FRANCISCO, CA, 94103",SHOTWELL ST,Mission,"(37.7676187, -122.4161734)",POINT (-122.4161734 37.7676187)
10256,16990486,"395 FELL ST, SAN FRANCISCO, CA, 94102",FELL ST,Hayes Valley,"(37.77565146, -122.42419802)",POINT (-122.424198018 37.775651455)
10257,16994685,"1019 SAN JOSE AVE, SAN FRANCISCO, CA, 94131 (Virtual)",SAN JOSE AVE,Holly Park,"(37.7386548, -122.4241415)",POINT (-122.4241415 37.7386548)
10258,16987796,"436 CLEMENTINA ST, SAN FRANCISCO, CA, 94103",CLEMENTINA ST,South of Market,"(37.780136, -122.404954)",POINT (-122.404954 37.780136)
10259,16981233,Intersection of 6TH ST and JESSIE ST,6TH ST,South of Market,"(37.7814178, -122.40925021)",POINT (-122.409250215 37.781417798)
10260,16984812,"1541 POLK ST, SAN FRANCISCO, CA, 94109",POLK ST,Polk Gulch,"(37.79105793, -122.42103467)",POINT (-122.421034668 37.791057929)
10261,16998598,"166 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77532167, -122.40711167)",POINT (-122.407111667 37.775321667)
10262,16989157,"255 LARCH ST, SAN FRANCISCO, CA, 94102",LARCH ST,Cathedral Hill,"(37.78233312, -122.42140264)",POINT (-122.421402643 37.782333115)
10263,16984879,"790 ELLIS ST, SAN FRANCISCO, CA, 94109",ELLIS ST,Tenderloin,"(37.78430422, -122.41886483)",POINT (-122.418864826 37.784304216)
10264,16989168,"671 ILLINOIS ST, SAN FRANCISCO, CA, 94107",ILLINOIS ST,Central Waterfront,"(37.76380919, -122.38706801)",POINT (-122.387068011 37.763809187)
10265,16981419,Intersection of ESSEX ST and HARRISON ST,ESSEX ST,Rincon Hill,"(37.78513218, -122.39419357)",POINT (-122.394193566 37.785132178)
10266,16981689,"231 OLIVE ST, SAN FRANCISCO, CA, 94109",OLIVE ST,Cathedral Hill,"(37.7840707, -122.4221937)",POINT (-122.4221937 37.7840707)
